lnp_id,paper_doi,paper_title,lipid_molar_ratio,ionizable_lipid,helper_lipid,sterol_lipid,peg_lipid,mol_pct_ionizable,mol_pct_helper,mol_pct_sterol,mol_pct_peg,ratio_sum,ratio_sum_deviation_from_100,parse_method,parse_confidence,ratio_values_complete,ratio_values_nonnegative,ratio_values_at_most_100,ratio_sum_near_100,ratio_model_eligible,ratio_review_needed
176,10.1126/sciadv.abc2315,Functionalized lipid-like nanoparticles for in vivo mRNA delivery and base editing,20:0.75:40:30,Custom lipid,DOPE,cholesterol,DMG-PEG2000,,,,,,,ambiguous_doi,excluded,False,False,False,False,False,False
177,10.1126/sciadv.abc2315,Functionalized lipid-like nanoparticles for in vivo mRNA delivery and base editing,20:0.75:40:30,Custom lipid,DOPE,cholesterol,DMG-PEG2000,,,,,,,ambiguous_doi,excluded,False,False,False,False,False,False
178,10.1126/sciadv.abc2315,Functionalized lipid-like nanoparticles for in vivo mRNA delivery and base editing,20:0.75:40:30,Custom lipid,DOPE,cholesterol,DMG-PEG2000,,,,,,,ambiguous_doi,excluded,False,False,False,False,False,False
179,10.1126/sciadv.abc2315,Functionalized lipid-like nanoparticles for in vivo mRNA delivery and base editing,20:0.75:40:30,Custom lipid,DOPE,cholesterol,DMG-PEG2000,,,,,,,ambiguous_doi,excluded,False,False,False,False,False,False
180,10.1126/sciadv.abc2315,Functionalized lipid-like nanoparticles for in vivo mRNA delivery and base editing,20:0.75:40:30,Custom lipid,DOPE,cholesterol,DMG-PEG2000,,,,,,,ambiguous_doi,excluded,False,False,False,False,False,False
181,10.1126/sciadv.abc2315,Functionalized lipid-like nanoparticles for in vivo mRNA delivery and base editing,20:0.75:40:30,Custom lipid,DOPE,cholesterol,DMG-PEG2000,,,,,,,ambiguous_doi,excluded,False,False,False,False,False,False
182,10.1126/sciadv.abc2315,Functionalized lipid-like nanoparticles for in vivo mRNA delivery and base editing,20:0.75:40:30,Custom lipid,DOPE,cholesterol,DMG-PEG2000,,,,,,,ambiguous_doi,excluded,False,False,False,False,False,False
183,10.1126/sciadv.abc2315,Functionalized lipid-like nanoparticles for in vivo mRNA delivery and base editing,20:0.75:40:30,Custom lipid,DOPE,cholesterol,DMG-PEG2000,,,,,,,ambiguous_doi,excluded,False,False,False,False,False,False
184,10.1126/sciadv.abc2315,Functionalized lipid-like nanoparticles for in vivo mRNA delivery and base editing,20:0.75:40:30,Custom lipid,DOPE,cholesterol,DMG-PEG2000,,,,,,,ambiguous_doi,excluded,False,False,False,False,False,False
198,10.1002/adma.201606944,Synthesis and Biological Evaluation of Ionizable Lipid Materials for the In Vivo Delivery of Messenger RNA to B Lymphocytes,35:16:46.5:2.5,OF-Deg-Lin,DOPE,cholesterol,C14-PEG2000,35.0,16.0,46.5,2.5,100.0,0.0,doi_lookup,high,True,True,True,True,True,False
199,10.1002/adma.201606944,Synthesis and Biological Evaluation of Ionizable Lipid Materials for the In Vivo Delivery of Messenger RNA to B Lymphocytes,35:16:46.5:2.5,OF-Deg-Lin,DOPE,cholesterol,C14-PEG2000,35.0,16.0,46.5,2.5,100.0,0.0,doi_lookup,high,True,True,True,True,True,False
200,10.1002/adma.201606944,Synthesis and Biological Evaluation of Ionizable Lipid Materials for the In Vivo Delivery of Messenger RNA to B Lymphocytes,35:16:46.5:2.5,OF-02,DOPE,cholesterol,C14-PEG2000,35.0,16.0,46.5,2.5,100.0,0.0,doi_lookup,high,True,True,True,True,True,False
201,10.1002/adma.201606944,Synthesis and Biological Evaluation of Ionizable Lipid Materials for the In Vivo Delivery of Messenger RNA to B Lymphocytes,35:16:46.5:2.5,OF-02,DOPE,cholesterol,C14-PEG2000,35.0,16.0,46.5,2.5,100.0,0.0,doi_lookup,high,True,True,True,True,True,False
202,https://doi.org/10.1038/s41467-024-45422-9,"High-throughput barcoding of nanoparticles identifies cationic, degradable lipid-like materials for mRNA delivery to the lungs in female preclinical models",35:2.5:46.5:16,Custom lipid,DOPE,cholesterol,C14-PEG2000,35.0,16.0,46.5,2.5,100.0,0.0,doi_lookup,high,True,True,True,True,True,False
203,https://doi.org/10.1038/s41467-024-45422-9,"High-throughput barcoding of nanoparticles identifies cationic, degradable lipid-like materials for mRNA delivery to the lungs in female preclinical models",35:2.5:46.5:16,Custom lipid,DOPE,cholesterol,C14-PEG2000,35.0,16.0,46.5,2.5,100.0,0.0,doi_lookup,high,True,True,True,True,True,False
204,https://doi.org/10.1038/s41467-024-45422-9,"High-throughput barcoding of nanoparticles identifies cationic, degradable lipid-like materials for mRNA delivery to the lungs in female preclinical models",35:2.5:46.5:16,Custom lipid,DOPE,cholesterol,C14-PEG2000,35.0,16.0,46.5,2.5,100.0,0.0,doi_lookup,high,True,True,True,True,True,False
