mw,logp,tpsa,num_rotatable_bonds,num_hbd,num_hba,num_ester_bonds,num_tertiary_amines,tail_length_carbons,num_unsaturated_bonds,num_branch_points,num_rings,fraction_csp3,heavy_atom_count,ionizable_lipid_smiles
478.67400000000043,5.464300000000006,110.88000000000002,18.0,3.0,7.0,2.0,0.0,4.0,2.0,8.0,1.0,0.7037037037037037,34.0,NCCCCNCC1=CC(=C(O)C(=C1)OC(=O)CC(CC)CCC)OC(=O)CC(CC)CCC
490.6850000000005,5.558900000000006,102.09,14.0,2.0,7.0,2.0,1.0,5.0,2.0,9.0,2.0,0.7142857142857143,35.0,NC1CCN(CC1)CC2=CC(=C(O)C(=C2)OC(=O)CC(CC)CCC)OC(=O)CC(CC)CCC
519.7270000000005,4.712100000000003,105.33000000000001,16.0,2.0,8.0,2.0,2.0,2.0,2.0,8.0,2.0,0.7241379310344828,37.0,NCCN1CCN(CC1)CC2=CC(=C(O)C(=C2)OC(=O)CC(CC)CCC)OC(=O)CC(CC)CCC
507.7160000000005,4.745300000000004,128.11,19.0,3.0,8.0,2.0,1.0,3.0,2.0,8.0,1.0,0.7142857142857143,36.0,NCCCN(CC1=CC(=C(O)C(=C1)OC(=O)CC(CC)CCC)OC(=O)CC(CC)CCC)CCN
507.7160000000005,4.745300000000004,128.11,19.0,3.0,8.0,2.0,1.0,2.0,2.0,8.0,1.0,0.7142857142857143,36.0,NCCN(CC1=CC(=C(O)C(=C1)OC(=O)CC(CC)CCC)OC(=O)CC(CC)CCC)CCCN
450.62000000000035,5.379300000000006,110.88000000000002,16.0,3.0,7.0,2.0,0.0,5.0,2.0,8.0,1.0,0.68,32.0,NNCC1=CC(=C(O)C(=C1)OC(=O)CC(CC)CCCC)OC(=O)CC(CC)CCCC
506.7280000000005,6.2445000000000075,110.88000000000002,20.0,3.0,7.0,2.0,0.0,4.0,2.0,8.0,1.0,0.7241379310344828,36.0,NCCCCNCC1=CC(=C(O)C(=C1)OC(=O)CC(CC)CCCC)OC(=O)CC(CC)CCCC
518.7390000000006,6.339100000000007,102.09,16.0,2.0,7.0,2.0,1.0,5.0,2.0,9.0,2.0,0.7333333333333333,37.0,NC1CCN(CC1)CC2=CC(=C(O)C(=C2)OC(=O)CC(CC)CCCC)OC(=O)CC(CC)CCCC
547.7810000000004,5.4923000000000055,105.33000000000001,18.0,2.0,8.0,2.0,2.0,2.0,2.0,8.0,2.0,0.7419354838709677,39.0,NCCN1CCN(CC1)CC2=CC(=C(O)C(=C2)OC(=O)CC(CC)CCCC)OC(=O)CC(CC)CCCC
535.7700000000004,5.525500000000005,128.11,21.0,3.0,8.0,2.0,1.0,3.0,2.0,8.0,1.0,0.7333333333333333,38.0,NCCCN(CC1=CC(=C(O)C(=C1)OC(=O)CC(CC)CCCC)OC(=O)CC(CC)CCCC)CCN
535.7700000000004,5.525500000000005,128.11,21.0,3.0,8.0,2.0,1.0,2.0,2.0,8.0,1.0,0.7333333333333333,38.0,NCCN(CC1=CC(=C(O)C(=C1)OC(=O)CC(CC)CCCC)OC(=O)CC(CC)CCCC)CCCN
478.67400000000043,6.159500000000007,110.88000000000002,18.0,3.0,7.0,2.0,0.0,5.0,2.0,8.0,1.0,0.7037037037037037,34.0,NNCC1=CC(=C(O)C(=C1)OC(=O)CC(CC)CCCCC)OC(=O)CC(CC)CCCCC
534.7820000000005,7.024700000000008,110.88000000000002,22.0,3.0,7.0,2.0,0.0,4.0,2.0,8.0,1.0,0.7419354838709677,38.0,NCCCCNCC1=CC(=C(O)C(=C1)OC(=O)CC(CC)CCCCC)OC(=O)CC(CC)CCCCC
546.7930000000005,7.119300000000009,102.09,18.0,2.0,7.0,2.0,1.0,5.0,2.0,9.0,2.0,0.75,39.0,NC1CCN(CC1)CC2=CC(=C(O)C(=C2)OC(=O)CC(CC)CCCCC)OC(=O)CC(CC)CCCCC
575.8350000000003,6.272500000000007,105.33000000000001,20.0,2.0,8.0,2.0,2.0,2.0,2.0,8.0,2.0,0.7575757575757576,41.0,NCCN1CCN(CC1)CC2=CC(=C(O)C(=C2)OC(=O)CC(CC)CCCCC)OC(=O)CC(CC)CCCCC
563.8240000000003,6.305700000000007,128.11,23.0,3.0,8.0,2.0,1.0,3.0,2.0,8.0,1.0,0.75,40.0,NCCCN(CC1=CC(=C(O)C(=C1)OC(=O)CC(CC)CCCCC)OC(=O)CC(CC)CCCCC)CCN
563.8240000000003,6.305700000000007,128.11,23.0,3.0,8.0,2.0,1.0,2.0,2.0,8.0,1.0,0.75,40.0,NCCN(CC1=CC(=C(O)C(=C1)OC(=O)CC(CC)CCCCC)OC(=O)CC(CC)CCCCC)CCCN
506.7280000000005,6.939700000000008,110.88000000000002,20.0,3.0,7.0,2.0,0.0,5.0,2.0,8.0,1.0,0.7241379310344828,36.0,NNCC1=CC(=C(O)C(=C1)OC(=O)CC(CCCCCC)CC)OC(=O)CC(CCCCCC)CC
562.8360000000004,7.80490000000001,110.88000000000002,24.0,3.0,7.0,2.0,0.0,4.0,2.0,8.0,1.0,0.7575757575757576,40.0,NCCCCNCC1=CC(=C(O)C(=C1)OC(=O)CC(CCCCCC)CC)OC(=O)CC(CCCCCC)CC
574.8470000000003,7.89950000000001,102.09,20.0,2.0,7.0,2.0,1.0,5.0,2.0,9.0,2.0,0.7647058823529411,41.0,NC1CCN(CC1)CC2=CC(=C(O)C(=C2)OC(=O)CC(CCCCCC)CC)OC(=O)CC(CCCCCC)CC
603.8890000000001,7.052700000000008,105.33000000000001,22.0,2.0,8.0,2.0,2.0,2.0,2.0,8.0,2.0,0.7714285714285715,43.0,NCCN1CCN(CC1)CC2=CC(=C(O)C(=C2)OC(=O)CC(CCCCCC)CC)OC(=O)CC(CCCCCC)CC
591.8780000000003,7.0859000000000085,128.11,25.0,3.0,8.0,2.0,1.0,3.0,2.0,8.0,1.0,0.7647058823529411,42.0,NCCCN(CC1=CC(=C(O)C(=C1)OC(=O)CC(CCCCCC)CC)OC(=O)CC(CCCCCC)CC)CCN
591.8780000000002,7.085900000000008,128.11,25.0,3.0,8.0,2.0,1.0,2.0,2.0,8.0,1.0,0.7647058823529411,42.0,NCCN(CC1=CC(=C(O)C(=C1)OC(=O)CC(CCCCCC)CC)OC(=O)CC(CCCCCC)CC)CCCN
534.7820000000005,7.71990000000001,110.88000000000002,22.0,3.0,7.0,2.0,0.0,5.0,2.0,8.0,1.0,0.7419354838709677,38.0,NNCC1=CC(=C(O)C(=C1)OC(=O)CCC(CC)CCCCCC)OC(=O)CCC(CC)CCCCCC
590.8900000000002,8.585100000000008,110.88000000000002,26.0,3.0,7.0,2.0,0.0,4.0,2.0,8.0,1.0,0.7714285714285715,42.0,NCCCCNCC1=CC(=C(O)C(=C1)OC(=O)CCC(CC)CCCCCC)OC(=O)CCC(CC)CCCCCC
602.9010000000002,8.679700000000008,102.09,22.0,2.0,7.0,2.0,1.0,5.0,2.0,9.0,2.0,0.7777777777777778,43.0,NC1CCN(CC1)CC2=CC(=C(O)C(=C2)OC(=O)CCC(CC)CCCCCC)OC(=O)CCC(CC)CCCCCC
631.9430000000001,7.832900000000009,105.33000000000001,24.0,2.0,8.0,2.0,2.0,2.0,2.0,8.0,2.0,0.7837837837837838,45.0,NCCN1CCN(CC1)CC2=CC(=C(O)C(=C2)OC(=O)CCC(CC)CCCCCC)OC(=O)CCC(CC)CCCCCC
619.932,7.866100000000009,128.11,27.0,3.0,8.0,2.0,1.0,3.0,2.0,8.0,1.0,0.7777777777777778,44.0,NCCCN(CC1=CC(=C(O)C(=C1)OC(=O)CCC(CC)CCCCCC)OC(=O)CCC(CC)CCCCCC)CCN
619.932,7.866100000000009,128.11,27.0,3.0,8.0,2.0,1.0,2.0,2.0,8.0,1.0,0.7777777777777778,44.0,NCCN(CC1=CC(=C(O)C(=C1)OC(=O)CCC(CC)CCCCCC)OC(=O)CCC(CC)CCCCCC)CCCN
548.7650000000002,7.015300000000008,116.95000000000002,20.0,2.0,8.0,3.0,0.0,5.0,3.0,10.0,1.0,0.7096774193548387,39.0,NNCC1=CC(=C(OC(=O)CC(CC)CCC)C(=C1)OC(=O)CC(CC)CCC)OC(=O)CC(CC)CCC
604.8730000000002,7.88050000000001,116.95000000000002,24.0,2.0,8.0,3.0,0.0,4.0,3.0,10.0,1.0,0.7428571428571429,43.0,NCCCCNCC1=CC(=C(OC(=O)CC(CC)CCC)C(=C1)OC(=O)CC(CC)CCC)OC(=O)CC(CC)CCC
616.8840000000001,7.97510000000001,108.16,20.0,1.0,8.0,3.0,1.0,5.0,3.0,11.0,2.0,0.75,44.0,NC1CCN(CC1)CC2=CC(=C(OC(=O)CC(CC)CCC)C(=C2)OC(=O)CC(CC)CCC)OC(=O)CC(CC)CCC
645.926,7.128300000000007,111.4,22.0,1.0,9.0,3.0,2.0,2.0,3.0,10.0,2.0,0.7567567567567568,46.0,NCCN1CCN(CC1)CC2=CC(=C(OC(=O)CC(CC)CCC)C(=C2)OC(=O)CC(CC)CCC)OC(=O)CC(CC)CCC
633.915,7.161500000000008,134.18,25.0,2.0,9.0,3.0,1.0,3.0,3.0,10.0,1.0,0.75,45.0,NCCCN(CC1=CC(=C(OC(=O)CC(CC)CCC)C(=C1)OC(=O)CC(CC)CCC)OC(=O)CC(CC)CCC)CCN
633.9149999999998,7.161500000000008,134.18,25.0,2.0,9.0,3.0,1.0,2.0,3.0,10.0,1.0,0.75,45.0,NCCN(CC1=CC(=C(OC(=O)CC(CC)CCC)C(=C1)OC(=O)CC(CC)CCC)OC(=O)CC(CC)CCC)CCCN
590.8460000000001,8.18560000000001,116.95000000000002,23.0,2.0,8.0,3.0,0.0,5.0,3.0,10.0,1.0,0.7352941176470589,42.0,NNCC1=CC(=C(OC(=O)CC(CC)CCCC)C(=C1)OC(=O)CC(CC)CCCC)OC(=O)CC(CC)CCCC
646.9540000000001,9.050800000000004,116.95000000000002,27.0,2.0,8.0,3.0,0.0,4.0,3.0,10.0,1.0,0.7631578947368421,46.0,NCCCCNCC1=CC(=C(OC(=O)CC(CC)CCCC)C(=C1)OC(=O)CC(CC)CCCC)OC(=O)CC(CC)CCCC
658.965,9.145400000000004,108.16,23.0,1.0,8.0,3.0,1.0,5.0,3.0,11.0,2.0,0.7692307692307693,47.0,NC1CCN(CC1)CC2=CC(=C(OC(=O)CC(CC)CCCC)C(=C2)OC(=O)CC(CC)CCCC)OC(=O)CC(CC)CCCC
688.007,8.298600000000008,111.4,25.0,1.0,9.0,3.0,2.0,2.0,3.0,10.0,2.0,0.775,49.0,NCCN1CCN(CC1)CC2=CC(=C(OC(=O)CC(CC)CCCC)C(=C2)OC(=O)CC(CC)CCCC)OC(=O)CC(CC)CCCC
675.9959999999998,8.33180000000001,134.18,28.0,2.0,9.0,3.0,1.0,3.0,3.0,10.0,1.0,0.7692307692307693,48.0,NCCCN(CC1=CC(=C(OC(=O)CC(CC)CCCC)C(=C1)OC(=O)CC(CC)CCCC)OC(=O)CC(CC)CCCC)CCN
675.9959999999998,8.33180000000001,134.18,28.0,2.0,9.0,3.0,1.0,2.0,3.0,10.0,1.0,0.7692307692307693,48.0,NCCN(CC1=CC(=C(OC(=O)CC(CC)CCCC)C(=C1)OC(=O)CC(CC)CCCC)OC(=O)CC(CC)CCCC)CCCN
632.9269999999999,9.355900000000002,116.95000000000002,26.0,2.0,8.0,3.0,0.0,5.0,3.0,10.0,1.0,0.7567567567567568,45.0,NNCC1=CC(=C(OC(=O)CC(CC)CCCCC)C(=C1)OC(=O)CC(CC)CCCCC)OC(=O)CC(CC)CCCCC
