endpoint,endpoint_column,model_id,model_label,feature_set,fold,n_train,n_test,n_train_studies,n_test_studies,selected_ridge_alpha,mae,rmse,r2,spearman_rho
particle_size,size_mean,ridge_composition,Ridge: composition,composition,3,247,51,21,7,100.0,23.27237214018155,31.842487943802958,-0.2354176156459522,0.5428211350851311
particle_size,size_mean,ridge_composition,Ridge: composition,composition,4,247,51,21,7,100.0,46.49628228395205,53.47368931409165,-0.44407444450686717,0.28892728600761974
particle_size,size_mean,ridge_composition,Ridge: composition,composition,5,248,50,21,7,100.0,45.40059910067489,51.78625590986618,-0.5876294438703873,-0.6063384251567834
particle_size,size_mean,rf_composition,RF: composition,composition,1,203,95,27,1,,47.5510497962989,53.53154633463161,-3.107063929646361,
particle_size,size_mean,rf_composition,RF: composition,composition,2,247,51,22,6,,37.02171926682756,47.09674646941904,-0.5383319011878673,-0.06437874827175287
particle_size,size_mean,rf_composition,RF: composition,composition,3,247,51,21,7,,28.410764574591557,34.73893007822512,-0.4703904742173013,0.5365757792816765
particle_size,size_mean,rf_composition,RF: composition,composition,4,247,51,21,7,,31.698030624846822,39.94300977961054,0.19426754233970578,0.6136639929470102
particle_size,size_mean,rf_composition,RF: composition,composition,5,248,50,21,7,,44.2236734595585,56.64128523177675,-0.8992682879123242,-0.35633811493978285
particle_size,size_mean,ridge_descriptors,Ridge: descriptors,descriptors,1,203,95,27,1,100.0,47.86688320237486,54.035121884047044,-3.1846983362199985,-0.011706651267854778
particle_size,size_mean,ridge_descriptors,Ridge: descriptors,descriptors,2,247,51,22,6,100.0,28.49537247566862,38.69573650848901,-0.03847122701876615,-0.1798919842650783
particle_size,size_mean,ridge_descriptors,Ridge: descriptors,descriptors,3,247,51,21,7,100.0,23.96313351710945,27.891758305074077,0.052123863165915774,0.4121723074211421
particle_size,size_mean,ridge_descriptors,Ridge: descriptors,descriptors,4,247,51,21,7,30.0,46.709041391486856,56.7006360097356,-0.6236228186388166,-0.4929139130385973
particle_size,size_mean,ridge_descriptors,Ridge: descriptors,descriptors,5,248,50,21,7,100.0,36.51367428869579,43.47272262916368,-0.11880345498688971,0.0035862049101594053
particle_size,size_mean,rf_descriptors,RF: descriptors,descriptors,1,203,95,27,1,,40.54560490085784,46.60628669401522,-2.113156046745388,0.16349720614660382
particle_size,size_mean,rf_descriptors,RF: descriptors,descriptors,2,247,51,22,6,,28.973582439688137,43.05607554146698,-0.2856925237415129,0.029810671678212976
particle_size,size_mean,rf_descriptors,RF: descriptors,descriptors,3,247,51,21,7,,24.014910316518847,29.145489238238575,-0.03500513176744735,0.3901322226251935
particle_size,size_mean,rf_descriptors,RF: descriptors,descriptors,4,247,51,21,7,,46.49570435637049,53.50662172495787,-0.4458536932464372,-0.3733974119968846
particle_size,size_mean,rf_descriptors,RF: descriptors,descriptors,5,248,50,21,7,,25.768156275714368,37.66909232835567,0.15997844622990676,0.4260214928890735
particle_size,size_mean,ridge_combined,Ridge: combined,combined,1,203,95,27,1,100.0,47.13125423599085,53.384370105664125,-3.0845115735989133,-0.041559486937451574
particle_size,size_mean,ridge_combined,Ridge: combined,combined,2,247,51,22,6,30.0,37.29247642054855,53.63398466797941,-0.9950250848967448,-0.1571635403352911
particle_size,size_mean,ridge_combined,Ridge: combined,combined,3,247,51,21,7,100.0,25.39345583857886,28.704346162629715,-0.003910787845175623,0.27231790106073006
particle_size,size_mean,ridge_combined,Ridge: combined,combined,4,247,51,21,7,30.0,46.45666148206017,56.76557548976133,-0.6273440326453681,-0.42560030286563577
particle_size,size_mean,ridge_combined,Ridge: combined,combined,5,248,50,21,7,100.0,35.98737414190374,43.72071760413192,-0.1316045409062423,-0.10215074141579815
particle_size,size_mean,rf_combined,RF: combined,combined,1,203,95,27,1,,39.32229634479735,45.486697119296785,-1.9653823031330875,0.22595061982248518
particle_size,size_mean,rf_combined,RF: combined,combined,2,247,51,22,6,,27.891773553026297,40.26060921103112,-0.12416204500815442,0.11444915632033313
particle_size,size_mean,rf_combined,RF: combined,combined,3,247,51,21,7,,24.806998327346253,29.155759060477276,-0.03573465744652049,0.27031857056737585
particle_size,size_mean,rf_combined,RF: combined,combined,4,247,51,21,7,,43.06277413423031,50.14005133469065,-0.26963484790984427,-0.29662177071964757
particle_size,size_mean,rf_combined,RF: combined,combined,5,248,50,21,7,,25.831036924445307,38.4080344085853,0.12669834649378353,0.4033053606796189
pdi,pdi_mean,baseline_mean,Mean baseline,none,1,175,95,20,1,,0.06618144360902255,0.08567146072785163,-0.49417762854767444,
pdi,pdi_mean,baseline_mean,Mean baseline,none,2,226,44,17,4,,0.06671440064360418,0.07852380317454553,-0.0073997110661556675,
pdi,pdi_mean,baseline_mean,Mean baseline,none,3,226,44,16,5,,0.05425502815768299,0.07210385831475027,-0.6553114249720058,
pdi,pdi_mean,baseline_mean,Mean baseline,none,4,226,44,16,5,,0.06509543443282381,0.07777994423182716,-0.03392002241444647,
pdi,pdi_mean,baseline_mean,Mean baseline,none,5,227,43,15,6,,0.05431743673803915,0.06309809267358658,-0.07330237410558249,
pdi,pdi_mean,ridge_composition,Ridge: composition,composition,1,175,95,20,1,100.0,0.06620676168542272,0.08570090140200746,-0.4952047420052639,
pdi,pdi_mean,ridge_composition,Ridge: composition,composition,2,226,44,17,4,100.0,0.06770519358080089,0.08298663621118639,-0.12516313071033935,0.1073886464001378
pdi,pdi_mean,ridge_composition,Ridge: composition,composition,3,226,44,16,5,100.0,0.056094575268254475,0.07232534593424804,-0.6654965690568213,-0.025428712427802726
pdi,pdi_mean,ridge_composition,Ridge: composition,composition,4,226,44,16,5,100.0,0.06548753759095356,0.07871270363510917,-0.05886684656555774,0.11765551679318927
pdi,pdi_mean,ridge_composition,Ridge: composition,composition,5,227,43,15,6,100.0,0.051152145366919186,0.05978375077671399,0.036490625788143105,0.46138605780089814
pdi,pdi_mean,rf_composition,RF: composition,composition,1,175,95,20,1,,0.06893331211546047,0.08887010583007052,-0.6078342683611748,
pdi,pdi_mean,rf_composition,RF: composition,composition,2,226,44,17,4,,0.06648362115807659,0.08070472601368517,-0.06413592538015123,0.14829147230489903
pdi,pdi_mean,rf_composition,RF: composition,composition,3,226,44,16,5,,0.06540595107765113,0.08020578241739756,-1.0482080221154244,-0.08872997527999249
pdi,pdi_mean,rf_composition,RF: composition,composition,4,226,44,16,5,,0.07355657392430884,0.09404562260244921,-0.5115720841903266,0.010069907157407252
pdi,pdi_mean,rf_composition,RF: composition,composition,5,227,43,15,6,,0.04157533199062964,0.048276652465383985,0.371704537622778,0.7271923633080128
pdi,pdi_mean,ridge_descriptors,Ridge: descriptors,descriptors,1,175,95,20,1,100.0,0.11033519723406518,0.13041343467781322,-2.462378577523908,-0.11677138121683114
pdi,pdi_mean,ridge_descriptors,Ridge: descriptors,descriptors,2,226,44,17,4,100.0,0.07391739699859166,0.0837673741690557,-0.14643378024985454,-0.08969541171138067
pdi,pdi_mean,ridge_descriptors,Ridge: descriptors,descriptors,3,226,44,16,5,100.0,0.047014221651448904,0.06537507709279419,-0.3607775360777059,-0.05339242851549011
pdi,pdi_mean,ridge_descriptors,Ridge: descriptors,descriptors,4,226,44,16,5,100.0,0.0683587142619684,0.09078788556963428,-0.40866425374877346,0.14700953159295185
pdi,pdi_mean,ridge_descriptors,Ridge: descriptors,descriptors,5,227,43,15,6,100.0,0.046843902904665904,0.056184625085060086,0.14900971689244702,0.5989026902330162
pdi,pdi_mean,rf_descriptors,RF: descriptors,descriptors,1,175,95,20,1,,0.07376796936450516,0.09390381302927317,-0.7951318024331444,0.07106802882772555
pdi,pdi_mean,rf_descriptors,RF: descriptors,descriptors,2,226,44,17,4,,0.08508264806270972,0.09744511966709767,-0.5513841744482739,-0.7032079553808244
pdi,pdi_mean,rf_descriptors,RF: descriptors,descriptors,3,226,44,16,5,,0.040734593570253066,0.058542748203569896,-0.09121145169187428,0.29998254295995674
pdi,pdi_mean,rf_descriptors,RF: descriptors,descriptors,4,226,44,16,5,,0.06906315232641475,0.09450938033860769,-0.5265165679807344,-0.12395616716944914
